route_id,agency_id,route_long_name,route_desc,route_short_name,route_type,route_url,route_color,route_text_color
1510,3,,,C15,3,,00608B,ffffff
99665,1,,,C15_,3,,BA2B2E,ffffff
99247,1,,,C17,3,,BA2B2E,ffffff
99249,1,,,C19_,3,,BA2B2E,ffffff
270,3,,,C201,3,,00608B,ffffff
437,3,,,C25,3,,00608B,ffffff
1565,3,,,C27,3,,00608B,ffffff
1596,3,,,C29,3,,00608B,ffffff
99201,1,,,C29_,3,,BA2B2E,ffffff
1330,3,,,C30,3,,00608B,ffffff
9922,1,,,C30_,3,,BA2B2E,ffffff
1432,3,,,C31,3,,00608B,ffffff
99229,1,,,C31_,3,,BA2B2E,ffffff
1318,3,,,C33,3,,00608B,ffffff
819,3,,,C36,3,,00608B,ffffff
732,3,,,C37,3,,00608B,ffffff
141,3,,,C4,3,,00608B,ffffff
99227,1,,,C4_,3,,BA2B2E,ffffff
1329,3,,,C41,3,,00608B,ffffff
1352,3,,,C49,3,,00608B,ffffff
468,3,,,C52,3,,00608B,ffffff
2485,3,,,C53,3,,00608B,ffffff
24852,3,,,C_53,3,,00608B,ffffff
2486,3,,,C5_3,3,,00608B,ffffff
24862,3,,,C53_,3,,00608B,ffffff
99172,1,,,C61,3,,BA2B2E,ffffff
56,3,,,C7,3,,00608B,ffffff
99188,1,,,C71,3,,BA2B2E,ffffff
99111,1,,,C73,3,,BA2B2E,ffffff
657,3,,,C77,3,,00608B,ffffff
99318,6,,,C84,3,,BA2B2E,ffffff
99773,6,,,C84_,3,,BA2B2E,ffffff
9929,1,,,C91,3,,BA2B2E,ffffff
99218,1,,,C96,3,,BA2B2E,ffffff
1556,3,,,C97,3,,00608B,ffffff
99276,1,,,D10,3,,BA2B2E,ffffff
99216,1,,,D20,3,,BA2B2E,ffffff
99102,1,,,D21,3,,BA2B2E,ffffff
99235,1,,,D22,3,,BA2B2E,ffffff
99214,1,,,D26,3,,BA2B2E,ffffff
99251,1,,,D3,3,,BA2B2E,ffffff
99206,1,,,D50,3,,BA2B2E,ffffff
99350,1,,,D51,3,,BA2B2E,ffffff
99262,1,,,D70,3,,BA2B2E,ffffff
99533,6,,,D81,3,,BA2B2E,ffffff
99187,1,,,D94,3,,BA2B2E,ffffff
99210,1,,,D95,3,,BA2B2E,ffffff
331,3,,,E16,3,,00608B,ffffff
1607,3,,,E17,3,,00608B,ffffff
1610,3,,,E23,3,,00608B,ffffff
669,3,,,E25,3,,00608B,ffffff
99220,1,,,E25_,3,,BA2B2E,ffffff
99215,1,,,E26,3,,BA2B2E,ffffff
1560,3,,,E26A,3,,00608B,ffffff
551,3,,,E26B,3,,00608B,ffffff
99208,1,,,E32,3,,BA2B2E,ffffff
1609,3,,,E43,3,,00608B,ffffff
412,3,,,E44,3,,00608B,ffffff
99355,1,,,E44_,3,,BA2B2E,ffffff
413,3,,,E44-,3,,00608B,ffffff
1180,3,,,E46,3,,00608B,ffffff
1558,3,,,E57,3,,00608B,ffffff
499,3,,,E60,3,,00608B,ffffff
871,3,,,E61,3,,00608B,ffffff
994,3,,,E70,3,,00608B,ffffff
684,3,,,E72,3,,00608B,ffffff
99109,1,,,F1,3,,BA2B2E,ffffff
99643,1,,,F14,3,,BA2B2E,ffffff
99646,1,,,F_14,3,,BA2B2E,ffffff
99250,1,,,F19,3,,BA2B2E,ffffff
99232,1,,,F23,3,,BA2B2E,ffffff
99166,1,,,F28,3,,BA2B2E,ffffff
99202,1,,,F29,3,,BA2B2E,ffffff
99209,1,,,F32,3,,BA2B2E,ffffff
99274,1,,,F51,3,,BA2B2E,ffffff
